Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
ch1_ad449868	st	Alright, Dusk, keep moving! We're almost at the warehouse!	game/chapters/ch1.rpy	4	st "[what]"
ch1_96f92bdb		Moonlight falls on the windowless building before us. The industrial area is dark at night, so unlike the rest of the city.	game/chapters/ch1.rpy	6	"[what]"
ch1_7e940f46		I suppose there is no point in lighting a building at night whose only purpose is to store items and datasticks.	game/chapters/ch1.rpy	7	"[what]"
ch1_ab1d635a		There are no humans working here, except for the guards.	game/chapters/ch1.rpy	8	"[what]"
ch1_54279fbc		They are equipped with flashlights, making them easy targets. So they won't be working here very long.	game/chapters/ch1.rpy	9	"[what]"
ch1_8b314aba		I teleport behind the nearest guard. Even in the darkness, it's easy to guess where to strike.	game/chapters/ch1.rpy	11	"[what]"
knock_warehouse_b5dd4f25		I give him a heart zap with the paralyzer. Just like that, he was out like a light.	game/chapters/ch1.rpy	23	"[what]" with flash
knock_warehouse_6e300e12		Chances are, he might wake up later and throw us for a loop. It's happened before. If this all comes back to bite us later...	game/chapters/ch1.rpy	24	"[what]"
knock_warehouse_816ca107		In the middle of my thoughts, I feel a light tap on the shoulder.	game/chapters/ch1.rpy	26	"[what]"
knock_warehouse_aa709ff9		Good job, Rene! I know we're dealing with the same guards over and over again, but...	game/chapters/ch1.rpy	29	"[what]"
knock_warehouse_2b7c39cd		The no-kill policy is one of the only things separating us from them. And you have to remember: these people have families too, y'know?	game/chapters/ch1.rpy	32	"[what]"
knock_warehouse_095ab496		He's right. These people are just working their jobs. After flashing me his dorky little smile, he turns.	game/chapters/ch1.rpy	33	"[what]"
kill_warehouse_0ac7707a		If I don't kill him here we'll have to fight him again on the next mission. It's been like that before and I'm sick and tired of it.	game/chapters/ch1.rpy	41	"[what]"
kill_warehouse_bc6499e6		I snap the man's neck.	game/chapters/ch1.rpy	44	"[what]" with sshake
kill_warehouse_e1d0c64a	f	Bolt!	game/chapters/ch1.rpy	45	f "[what]"
kill_warehouse_0b5ae797		Frostbite is shocked to see what I did.	game/chapters/ch1.rpy	47	"[what]"
kill_warehouse_8fd79326	f	What the hell are you doing?!	game/chapters/ch1.rpy	48	f "[what]"
kill_warehouse_33b2ee0a	b	I'll explain myself later. Focus on the fight.	game/chapters/ch1.rpy	49	b "[what]"
warehouse_6dcbf08e	"Guard 1"	What the fuck! Who's there?!	game/chapters/ch1.rpy	53	"Guard 1" "[what]"
warehouse_ab2f150e		His voice is too close for comfort. I whirl around but before I can react, I feel the coldness in the air.	game/chapters/ch1.rpy	55	"[what]"
warehouse_c32b5d39		Frostbite is right by my side. She touches the guard and freezes his hand with her ice powers.	game/chapters/ch1.rpy	56	"[what]"
warehouse_773b46ca		I zap him with my paralyser and he falls to the ground, unconscious.	game/chapters/ch1.rpy	62	"[what]" with flash
warehouse_efddeb18		I see Bastion take notice, and he flashes me a thumbs up.	game/chapters/ch1.rpy	63	"[what]"
warehouse_02a6386c		I snap his neck too. I relish the feeling of his body going limp in my hands.	game/chapters/ch1.rpy	70	"[what]" with sshake
warehouse_0c7d9fd8		I snap his neck. I relish the feeling of his body going limp in my hands.	game/chapters/ch1.rpy	73	"[what]" with sshake
warehouse_29b839e0		Frostbite looks terrified and about to puke, but I just gesture for her to continue with the fight.	game/chapters/ch1.rpy	74	"[what]"
warehouse2_fb667ddc	"Guard 2"	It's Dusk, we are under attack!	game/chapters/ch1.rpy	78	"Guard 2" "[what]"
warehouse2_86adcb1d		Dusk - that's us. Three friends with special powers who formed a superhero team.	game/chapters/ch1.rpy	81	"[what]"
warehouse2_46eddf7a		And then there's Mia, our hacker.	game/chapters/ch1.rpy	82	"[what]"
warehouse2_b645da20		Currently we are here to secure a package from this warehouse.	game/chapters/ch1.rpy	83	"[what]"
warehouse2_afea50e5		The building and the items stored inside are owned by the enemies of our organisation - Dawn.	game/chapters/ch1.rpy	84	"[what]"
warehouse2_b7a30952	st	Take this!	game/chapters/ch1.rpy	86	st "[what]"
warehouse2_93f5eeeb		With a smile on his face Stoneman, our leader, punches the last guard and knocks her unconscious.	game/chapters/ch1.rpy	87	"[what]"
warehouse2_db956298		He has the power to turn his skin to stone. It's hard to hurt him and his punch is powerful.	game/chapters/ch1.rpy	88	"[what]"
